N,P,K,temperature,humidity,ph,rainfall,PlantGrown,ReleaseRate,PolymerCombinations 
24,128,196,22.75088787,90.69489172,5.521466996,110.4317855,Rajma,0.04,8.00mL AA+ NR/PVA(8:2)
7,144,197,23.8494014,94.34814995,6.133220586,114.0512495,Melons,0.003, '6.00mL AA+ NR/PVA(9:1)'
14,128,205,22.60800988,94.58900601,6.226289556,116.0396587,Rajma,0.06, '6.00mL AA+ NR/PVA(8:2)'
8,120,201,21.18667419,91.13435689,6.321152192,122.233323,Sugarcane,0.3, '6.00mL AA+ NR/PVA(6:4)'
20,129,201,23.41044706,91.69913296,5.587905967,116.0777931,Jute,3, '8.00mL AA+ NR/PVA(2:8)'
32,137,204,22.86006627,93.12859895,5.824151693,117.7296726,Wheat,0.8, '8.00mL AA+ NR/PVA(6:4)'
27,139,205,22.48403042,93.40819246,5.772179946,105.5473627,Cabbage,0.004, '8.00mL AA+ NR/PVA(9:1)'
0,123,205,22.02775403,92.96129462,5.790993052,121.1349176,Sesame,8, '8.00mL AA+ NR/PVA(2:8)'
22,144,196,21.91191314,91.68748063,6.499226821,117.0761277,Moong,0.6, '6.00mL AA+ NR/PVA(6:4)'
1,124,199,23.71059131,93.27392415,5.658473817,112.6676589,Coffee,1, '8.00mL AA+ NR/PVA(2:8)'
30,122,197,21.37784654,92.72043743,5.573241391,106.1417017,Watermelon,0.005, '8.00mL AA+ NR/PVA(9:1)'
29,121,196,22.84852833,94.32130209,6.079497202,123.5977843,Oranges,0.001, '6.00mL AA+ NR/PVA(9:1)'
13,126,204,23.1094265,92.79630809,6.383180271,108.183792,Cabbage,2, '6.00mL AA+ NR/PVA(2:8)'
9,139,199,23.25230817,94.54128292,5.867420996,105.3558408,Moong,0.004, '8.00mL AA+ NR/PVA(9:1)'
0,133,200,23.67287749,90.4935574,5.708418722,104.2298028,Potato,0.08, '8.00mL AA+ NR/PVA(8:2)'
30,143,199,23.76881552,90.59810302,5.7983508,102.2648546,Onion,1, '8.00mL AA+ NR/PVA(2:8)'
36,140,198,23.34386401,91.47684705,6.28188384,104.4267991,Pears,0.4, '6.00mL AA+ NR/PVA(6:4)'
37,137,199,22.63946441,90.18451645,5.697945522,108.3405879,Cauliflower,1, '8.00mL AA+ NR/PVA(2:8)'
33,121,203,22.45696744,94.76285385,5.605934087,114.8407725,Coffee,0.09, '8.00mL AA+ NR/PVA(8:2)'
7,144,195,22.96388477,93.58065995,5.85648105,104.6472986,Sesame,0.2, '8.00mL AA+ NR/PVA(6:4)'
35,128,205,21.07273439,93.56585985,6.041053829,107.8737015,Oranges,6, '6.00mL AA+ NR/PVA(2:8)'
29,128,198,22.44075021,92.70785115,5.685062404,121.4977331,Banana,0.04, '8.00mL AA+ NR/PVA(8:2)'
2,143,196,22.71271308,90.45261746,5.669489065,109.8852597,Carrots,0.04, '8.00mL AA+ NR/PVA(8:2)'
34,140,198,21.70416965,93.44006288,5.751707342,115.1781396,Onion,0.04, '8.00mL AA+ NR/PVA(8:2)'
29,144,204,22.43324518,92.48667725,5.800448951,119.1025189,Melons,0.05, '8.00mL AA+ NR/PVA(8:2)'
32,141,203,21.25941052,92.84416234,5.821347769,109.0658471,Wheat,0.6, '8.00mL AA+ NR/PVA(6:4)'
13,144,197,22.9215706,94.89613443,6.28022267,105.6941544,Grapes,0.1, '6.00mL AA+ NR/PVA(6:4)'
25,143,198,22.81212536,91.51861705,6.027314401,107.855225,Watermelon,0.9, '6.00mL AA+ NR/PVA(6:4)'
9,137,200,21.12152071,90.6878768,5.636687393,102.8017203,Groundnut,0.003, '8.00mL AA+ NR/PVA(9:1)'
6,144,198,21.11478672,90.31528693,5.559363609,104.5086618,Linseed,0.5, '8.00mL AA+ NR/PVA(6:4)'
37,126,196,23.59997268,90.97597665,5.596449493,107.1728191,Lobia,0.002, '8.00mL AA+ NR/PVA(9:1)'
2,120,203,23.12652652,94.71203306,5.893492999,108.6211833,Rice,2, '8.00mL AA+ NR/PVA(2:8)'
11,143,197,22.98458907,93.3204487,5.875718516,122.1952483,Rice,0.005, '8.00mL AA+ NR/PVA(9:1)'
10,141,201,22.12659387,90.97818277,6.386021424,104.5412275,Grapes,0.2, '6.00mL AA+ NR/PVA(6:4)'
24,142,202,22.53779727,91.48135786,5.710819862,101.8474768,Sugarcane,0.2, '8.00mL AA+ NR/PVA(6:4)'
23,138,195,22.49095104,91.70292746,5.795985716,124.3915101,Banana,0.06, '8.00mL AA+ NR/PVA(8:2)'
18,125,204,22.35548159,94.47811755,6.046673619,116.7366261,Rice,8, '6.00mL AA+ NR/PVA(2:8)'
13,121,196,22.20700989,93.50574163,6.443382913,120.1593771,Pumpkins,0.09, '6.00mL AA+ NR/PVA(8:2)'
26,122,202,22.44516988,94.73763514,5.617227184,107.1843273,Pears,0.008, '8.00mL AA+ NR/PVA(9:1)'
28,123,202,22.76643029,92.12438519,6.442289294,120.4359949,Jute,4, '6.00mL AA+ NR/PVA(2:8)'
26,121,201,22.19109412,90.02575116,6.162034371,112.3126628,Carrots,0.2, '6.00mL AA+ NR/PVA(6:4)'
21,137,196,23.6119202,91.70293849,5.812781806,123.5900822,Rice,8, '8.00mL AA+ NR/PVA(2:8)'
21,135,198,23.86087054,94.92048112,5.765015126,105.0241329,Cucumber,0.05, '8.00mL AA+ NR/PVA(8:2)'
5,144,205,21.42177231,92.62665309,6.184922574,102.8045658,Tomato,0.002, '6.00mL AA+ NR/PVA(9:1)'
2,123,205,22.36629253,90.78572467,5.739652177,124.9831618,Cauliflower,0.8, '8.00mL AA+ NR/PVA(6:4)'
15,133,199,23.99686172,91.61001707,5.824778636,117.6102915,Pears,0.04, '8.00mL AA+ NR/PVA(8:2)'
31,130,198,21.80129837,92.73446667,5.554823557,120.0586671,Potato,0.9, '8.00mL AA+ NR/PVA(6:4)'
25,143,200,23.80436344,92.80441624,6.024248787,100.6192543,Lettuce,0.04, '6.00mL AA+ NR/PVA(8:2)'
16,143,204,23.71475278,91.53331177,5.631333387,121.8961665,Grapes,0.008, '8.00mL AA+ NR/PVA(9:1)'
19,122,202,23.34467359,90.37981478,5.811975094,112.8954016,Masoor,0.03, '8.00mL AA+ NR/PVA(8:2)'
